,ticker,close,strong,dd,fresh,r5,spy5,x5,r20,spy20,x20,r60,spy60,x60,r120,spy120,x120,r250,spy250,x250,worst60
2018-11-12,AAPL,48.5425,True,-0.16832997815565176,True,-0.04279754853993911,-0.012730674689070631,-0.03006687385086848,-0.1291136632847505,-0.026085042374435985,-0.1030286209103145,-0.1274141216459802,-0.00715412554573136,-0.12025999610024884,0.04496060153473769,0.054884983673918475,-0.009924382139180787,0.35036308389555537,0.13126903180834293,0.21909405208721244,-0.26868208271102634
2020-02-27,AAPL,68.38,True,-0.1657160286716487,True,0.07092717168762808,0.01663809619844714,0.05428907548918094,-0.05513307984790872,-0.12204631777083119,0.06691323792292247,0.165874524714829,-0.006957749319350559,0.17283227403417956,0.6900043872477333,0.1382474538670968,0.5517569333806365,0.8331383445451888,0.31682968639709586,0.5163086581480929,-0.22268938286048545
2020-09-08,AAPL,112.82,True,-0.1823452674300623,True,0.024109200496366112,0.02088772845953013,0.0032214720368359817,0.0030136500620456808,0.0051619099066655405,-0.0021482598446198597,0.09094132246055664,0.1007772875964108,-0.009835965135854163,0.10902322283283117,0.16004921821073803,-0.05102599537790686,0.36766530756957994,0.3597431049488311,0.00792220262074883,-0.08615493706789579
2021-02-25,AAPL,120.99,True,-0.16610379764284244,True,-0.007108025456649347,-0.014725498914550217,0.00761747345790087,-0.0033060583519298747,0.019276541207857045,-0.02258259955978692,0.03669724770642202,0.08529280987628485,-0.04859556216986283,0.24134225969088363,0.1614050689195199,0.07993719077136374,0.3581287709728076,0.12355818272173247,0.23457058825107513,-0.03950739730556241
2022-03-11,AAPL,154.73,True,-0.15420356401005797,True,0.05978155496671622,0.05820458495012737,0.0015769700165888523,0.09926969559878507,0.06546527959625781,0.03380441600252726,-0.038906482259419506,-0.01030780584188351,-0.028598676417535995,0.020875072707296605,-0.056300140452781644,0.07717521316007825,-0.04026368512893419,-0.08131978003666052,0.041056094907726326,-0.14295870225554175
2024-03-06,AAPL,169.12,True,-0.15279030157298867,True,0.01188505203405854,0.012202059833251733,-0.0003170077991931919,-0.0017738883632923974,0.0065129965669445955,-0.008286884930236993,0.13676679280983906,0.03456596370769982,0.10220082910213923,0.3483325449385051,0.10163805787150548,0.2466944870669996,0.3914971617786187,0.12351152525747922,0.2679856365211395,-0.02980132450331119
2025-03-11,AAPL,220.84,True,-0.15094194540561323,True,-0.03690454627784823,0.009173981867894643,-0.04607852814574287,-0.2192537583771057,-0.10692185926032516,-0.11233189911678054,-0.09151421843868868,0.06679018563822137,-0.15830440407691004,0.0402101068646985,0.15173046481508146,-0.11152035795038295,0.18108132584676673,0.21812491005900125,-0.037043584212234526,-0.23378916862887156
2018-03-22,ABBV,98.1,True,-0.22056252979501034,True,-0.03516819571865437,-0.0019721621724125837,-0.03319603354624179,-0.05606523955147813,0.011150301513255245,-0.06721554106473338,0.003873598369011244,0.04888686615845561,-0.04501326778944437,-0.04954128440366967,0.09652216786134171,-0.14606345226501138,-0.17186544342507648,0.0798725679827057,-0.2517380114077822,-0.10071355759429146
2020-03-12,ABBV,78.61,True,-0.1967095851216023,True,-0.09604376033583506,-0.030631574704768183,-0.06541218563106688,0.014501971759318222,0.12127685300874602,-0.1067748812494278,0.20328202518763527,0.3026480190238199,-0.09936599383618461,0.17338760971886513,0.42114384748700173,-0.2477562377681366,0.37387100877750923,0.5701906412478335,-0.19631963247032425,-0.20429970741635928
2022-04-29,ABBV,146.88,True,-0.1650275709169462,True,0.0405092592592593,-0.001601941747572888,0.04211120100683219,0.0212418300653594,0.007912621359223326,0.013329208706136075,0.029071350762527315,-0.0266019417475728,0.055673292510100114,-0.026892701525054408,-0.11308252427184462,0.08618982274679021,0.028867102396514133,0.009538834951456243,0.01932826744505789,-0.07570806100217864
2024-05-28,ABBV,155.34,True,-0.15063699491497617,True,0.04377494528131831,-0.0026802061116248943,0.046455151392943206,0.1017767477790652,0.029633264755289712,0.07214348302377549,0.26413029483713135,0.049848058738038326,0.21428223609909303,0.06212179734775325,0.10558502104528045,-0.0434632236975272,0.1786404016994978,0.1093222098488138,0.069318191850684,-0.011329985837517653
2024-11-11,ABBV,174.43,True,-0.1586436426779857,True,-0.046723614057214924,-0.017719954572783747,-0.029003659484431177,0.0071088688872325,0.00674727770726169,0.00036159117997081047,0.09121137419021963,0.010171020108223683,0.08104035408199595,0.07831221693516022,-0.06281314717081976,0.14112536410597998,0.290890328498538,0.14069076090587207,0.15019956759266595,-0.06088402224388012
2015-08-24,ABT,43.7,True,-0.15539234634712018,True,0.036384439359267606,0.04311345646437981,-0.0067290171051122005,-0.027917620137299926,0.023271767810026267,-0.05118938794732619,0.02448512585812357,0.08427440633245387,-0.0597892804743303,-0.13066361556064077,0.0014775725593667577,-0.13214118812000752,0.012356979405034219,0.15324538258575204,-0.14088840318071782,-0.10755148741418774
2020-02-28,ABT,77.03,True,-0.16679286100594914,True,0.061145008438270754,0.004050496185782793,0.05709451225248796,-0.032065429053615424,-0.1446027138324445,0.11253728477882907,0.16162534077632085,0.009518666036589352,0.1521066747397315,0.3044268466831106,0.13829069060959975,0.16613615607351084,0.5783460989224978,0.2905218389252684,0.2878242599972294,-0.20018174737115413
2022-01-26,ABT,120.07,True,-0.15799438990182335,True,0.08303489631048544,0.05530942821542295,0.02772546809506249,-0.011243441325893166,-0.011721814573815048,0.00047837324792188163,-0.0035812442741733896,-0.01693663759287456,0.01335539331870117,-0.09860914466561166,-0.08909040564862247,-0.009518739016989186,-0.07553926875989003,-0.07621486916793574,0.0006756004080457068,-0.051553260597984485
2013-08-14,ACN,71.5,True,-0.1510330087865115,True,0.018321678321678414,-0.024771838331160367,0.04309351665283878,0.03720279720279707,0.0012445181936706629,0.035958279009126404,0.056643356643356624,0.03668365532772322,0.019959701315633405,0.08489510489510477,0.038105961834775215,0.04678914306032955,0.09888111888111872,0.146912409624274,-0.048031290743155264,-0.024055944055944023
2020-02-28,ACN,180.59,True,-0.16544202597162527,True,-0.01018882551636302,0.004050496185782793,-0.014239321702145813,-0.09806744559499425,-0.1446027138324445,0.046535268237450245,0.08754637576831503,0.009518666036589352,0.07802770973172568,0.2992413754914447,0.13829069060959975,0.16095068488184494,0.4052826845340274,0.2905218389252684,0.11476084560875899,-0.24054488066891855
2022-01-14,ACN,353.36,True,-0.1533651196779835,True,-0.04063844238170711,-0.05353761404716828,0.012899171665461173,-0.07706022187004757,-0.05530211740402835,-0.021758104466019224,-0.07536223681231602,-0.05687295575830609,-0.01848928105400993,-0.22212474530224136,-0.1732010673093476,-0.048923677992893766,-0.20155082635272814,-0.14249440523325874,-0.059056421119469404,-0.15847860538827263
