,ticker,close,strong,dd,fresh,r5,spy5,x5,r20,spy20,x20,r60,spy60,x60,r120,spy120,x120,r250,spy250,x250,worst60
2013-01-15,AAPL,17.3543,True,-0.31082041689997664,False,0.05780699884178575,0.01563881145032986,0.04216818739145589,-0.03891830843076349,0.03454137485551101,-0.0734596832862745,-0.1154929902099191,0.079757938396682,-0.1952509286066011,-0.13082636579983054,0.12279866730128508,-0.2536250331011156,0.10250485470459769,0.2353981097436595,-0.1328932550390618,-0.13771802953734802
2018-12-19,AAPL,40.2225,True,-0.3108750588940764,True,-0.029461122506059922,-0.012696012099020937,-0.016765110407038986,-0.025296786624401713,0.060495104672450895,-0.08579189129685261,0.15936354030704214,0.1239353657565867,0.03542817455045544,0.20672509167754383,0.15251134283212608,0.05421374884541774,0.7428677978743243,0.27186977632731035,0.470998021547014,-0.11740941015600714
2020-03-20,AAPL,57.31,True,-0.30077779472319666,True,0.08070144826382819,0.1076048951048949,-0.026903446841066714,0.20803524690280928,0.2307255244755244,-0.022690277572715134,0.5358576164718198,0.36783216783216766,0.1680254486396522,0.9802826731809455,0.45930944055944045,0.5209732326215051,1.1031233641598326,0.7110139860139859,0.3921093781458467,-0.07254405862851154
2018-10-19,ABBV,87.97,True,-0.3010487843635786,False,-0.08161873365920191,-0.039529411764705924,-0.04208932189449599,0.04046834148004996,-0.009122171945701307,0.04959051342575127,-0.00875298397180857,-0.048108597285068,0.03935561331325943,-0.07889053086279407,0.049665158371040796,-0.12855568923383487,-0.13084005911106067,0.07862443438914046,-0.20946449350020113,-0.11901784699329321
2020-03-23,ABBV,64.5,True,-0.34089515634580014,True,0.1665116279069767,0.17358152052029596,-0.007069892613319251,0.2458914728682171,0.22466920834267778,0.021222264525539325,0.4843410852713177,0.39789190401435315,0.08644918125696455,0.3906976744186046,0.4983628616281679,-0.1076651872095633,0.6034108527131783,0.7469387755102042,-0.14352792279702586,0.016279069767441756
2020-03-23,ABT,62.82,True,-0.3204975662520282,True,0.26297357529449217,0.17358152052029596,0.0893920547741962,0.497134670487106,0.22466920834267778,0.27246546214442824,0.4469914040114613,0.39789190401435315,0.049099499997108165,0.6666666666666667,0.4983628616281679,0.16830380503849884,0.914199299586119,0.7469387755102042,0.16726052407591485,0.026743075453677267
2020-03-18,ACN,151.15,True,-0.30149267526225787,True,0.004432682765464602,0.028291666666666604,-0.023858983901202002,0.1111478663579224,0.16291666666666682,-0.05176880030874442,0.3337082368508104,0.26754166666666657,0.06616657018414385,0.5391994707244459,0.3883749999999999,0.15082447072444594,0.7434336751571284,0.6496250000000001,0.09380867515712832,-0.09262322196493544
2022-05-09,ACN,287.49,True,-0.3111867168220045,False,-0.004591464050923477,0.004822060928748817,-0.009413524979672294,0.06622839055271479,0.04412688047818758,0.02210151007452721,0.08042018852829669,0.04018384107290851,0.04023634745538818,0.0010087307384603061,-0.022980134113569695,0.02398886485203,-0.07885491669275457,0.03659241027701743,-0.115447326969772,-0.0894639813558733
2022-02-11,ADBE,473.97,True,-0.3224547559825027,True,-0.06627001708968927,-0.014144303682513626,-0.052125713407175644,-0.13180159081798426,-0.05326249829723462,-0.07853909252074964,-0.17077030191784304,-0.09392453344231033,-0.0768457684755327,-0.08553283963120029,-0.06127684693275204,-0.024255992698448248,-0.21727113530392217,-0.07360486763837792,-0.14366626766554424,-0.20927484861911105
2022-05-10,ADBE,393.03,True,-0.4381593618663694,False,0.04228684833218832,0.02312761532486407,0.01915923300732425,0.09111263771213385,0.03039414668370566,0.06071849102842819,0.10279113553672747,0.03603197273797898,0.0667591627987485,-0.1896292903849578,-0.03227342203512995,-0.15735586834982784,-0.1281835992163448,0.02966749354782139,-0.1578510927641662,-0.14001475714322054
