,ticker,close,ret3y,sma200_rising,strong,hi252,dd,fresh,r5,spy5,x5,r20,spy20,x20,r60,spy60,x60,r120,spy120,x120,r250,spy250,x250,worst60
2014-12-17,AA,36.1651,0.6834444299625748,True,True,42.6533,-0.1521148422279167,True,0.04784170374200536,0.029634768819069457,0.018206934922935902,0.015282689664897875,-0.0007929035135536555,0.01607559317845153,-0.13222416086226785,0.030576341741414437,-0.16280050260368228,-0.1966758007028877,0.048763566083552146,-0.24543936678643985,-0.3940179897193703,0.016056296149462357,-0.41007428586883266,-0.13554780714003278
2016-10-04,AA,24.5106,0.29770854952455594,True,True,27.6345,-0.11304347826086958,False,-0.08790890471877477,-0.0058226197130613055,-0.08208628500571347,-0.06163047824206669,-0.017095211477548,-0.04453526676451869,0.1786737166776824,0.04504378610024218,0.13362993057744021,0.34309237635961587,0.09614309670206822,0.24694927965754765,0.9440568570332835,0.1753307247997018,0.7687261322335817,-0.16241952461384057
2018-02-22,AA,48.01,0.2881501455574784,True,True,57.5,-0.16504347826086962,True,-0.06123724224119975,-0.009985207100591698,-0.051252035140608054,-0.06436159133513841,-0.024889053254437687,-0.039472538080700725,0.05873776296604882,0.003439349112426049,0.055298413853622774,-0.08081649656321588,0.04992603550295849,-0.13074253206617437,-0.383878358675276,0.02596153846153859,-0.40983989713681457,-0.09006456988127465
2018-05-18,AA,50.83,0.6171829265188729,True,True,62.35,-0.18476343223736968,True,-0.0570529215030493,0.0030221501492646574,-0.06007507165231396,-0.09935077710013762,0.019275421073968957,-0.11862619817410658,-0.131811922093252,0.046327350458850836,-0.17813927255210282,-0.2754278969112729,0.03567611395717396,-0.31110401086844686,-0.5180011804052724,0.053477315446135654,-0.5714784958514081,-0.21247294904583902
2018-08-14,AA,44.13,0.9725637965483487,True,True,62.35,-0.2922213311948677,False,-0.024926353954226155,0.008594575554772721,-0.033520929508998876,-0.04781327894856102,0.018386755899964857,-0.06620003484852588,-0.1654203489689554,-0.01017964071856281,-0.1552407082503926,-0.35304781327894863,-0.03930961606199357,-0.31373819721695506,-0.5669612508497621,0.030468474815075863,-0.597429725664838,-0.2503965556310901
2022-01-21,AA,56.21,0.9862190812720848,True,True,64.37,-0.12676712754388697,True,0.021170610211705965,0.009064340837481089,0.012106269374224876,0.39121152819782967,-0.008562034796109397,0.39977356299393907,0.5402953211172388,0.01611945750947541,0.5241758636077634,-0.23394413805372705,-0.12066761039316865,-0.1132765276605584,-0.09268813378402418,-0.09612311064432166,0.0034349768602974784,-0.05248176481053202
2022-04-19,AA,86.58,2.247561890472618,True,True,98.09,-0.11734121724946478,True,-0.22649572649572647,-0.06502786266403016,-0.1614678638316963,-0.26772926772926775,-0.08250943735394578,-0.18521983037532197,-0.5026565026565026,-0.13461711306848823,-0.3680393895880144,-0.5513975513975513,-0.19103900772964233,-0.360358543667909,-0.5131670131670132,-0.06927467193960102,-0.44389234122741217,-0.5430237930237931
2022-07-15,AA,43.06,0.8464837049742711,True,True,98.09,-0.5610153940258946,False,0.06363214119832783,0.025861397450211543,0.03777074374811629,0.22526706920575923,0.1089761898579702,0.11629087934778903,-0.09800278680910357,-0.06519876405369618,-0.03280402275540739,0.05643288434742222,-0.014930023628385247,0.07136290797580747,-0.19832791453785414,0.16656713317581073,-0.3648950477136649,-0.22085462145843016
2022-10-10,AA,38.84,1.1097229766431287,True,True,98.09,-0.6040371087776532,False,0.013903192584963975,0.01888783956446871,-0.0049846469795047366,0.06874356333676612,0.05535803566468522,0.013385527672080899,0.17121524201853755,0.05377479028942833,0.11744045172910922,0.07543769309989701,0.14146436309093935,-0.06602666999104234,-0.2984037075180227,0.20073884784178664,-0.49914255535980934,-0.08856848609680756
2026-04-30,AA,63.79,0.7843356643356643,True,True,75.7,-0.15733157199471604,True,-0.018027904060197497,0.01797790332006799,-0.03600580738026549,0.21711867063803103,0.05262572009016786,0.16449295054786317,-0.3045931964257721,0.03089082459020953,-0.3354840210159816,,,,,,,-0.32998902649318074
2026-08-21,AA,51.85,0.7690208120095532,True,True,84.38,-0.3855178952358378,True,-0.02950819672131144,0.004740636263908415,-0.03424883298521986,,,,,,,,,,,,,-0.05988428158148518
2013-02-04,AAL,13.99,1.3473154362416109,True,True,15.64,-0.1054987212276215,True,0.03359542530378845,0.014912398020596518,0.018683027283191933,0.0042887776983560055,0.031764076501270555,-0.02747529880291455,0.1865618298784848,0.05844590076233791,0.1281159291161469,0.36454610436025736,0.13086799518523495,0.2336781091750224,1.3981415296640454,0.19152066336766094,1.2066208662963844,-0.09220872051465334
2013-05-30,AAL,17.67,1.0217391304347827,True,True,19.7,-0.10304568527918767,True,-0.05829088851160169,-0.01869384309232358,-0.03959704541927811,-0.0769666100735712,-0.028643791835011756,-0.04832281823855944,-0.0854555744199208,0.004763914852559781,-0.09021948927248058,0.3808715336728916,0.08195139600795986,0.29892013766493175,1.2524052065647986,0.1540734487125368,1.0983317578522618,-0.13129598189020952
2013-08-23,AAL,16.16,0.8177727784026996,True,True,19.7,-0.17969543147208122,False,0.0,-0.01782499099747925,0.01782499099747925,0.16707920792079212,0.019865562357460176,0.14721364556333194,0.5099009900990099,0.07682151002280624,0.43307948007620367,1.1293316831683167,0.10442924018725241,1.0249024429810643,1.4449257425742572,0.19733525387108397,1.2475904887031732,-0.054455445544554504
2013-12-03,AAL,22.39,0.9884547069271759,True,True,25.49,-0.12161632012553936,True,0.11121036176864663,0.0055632823365785455,0.10564707943206808,0.13264850379633764,0.017635605006953936,0.1150128987893837,0.6123269316659223,0.02909596662030589,0.5832309650456164,0.7775792764627063,0.06470097357440885,0.7128783028882975,1.1384546672621707,0.14470097357440892,0.9937536936877618,-0.041983028137561496
2014-03-27,AAL,35.77,3.0372460496614,True,True,39.88,-0.10305917753259775,True,0.04389152921442552,0.0219417054935529,0.02194982372087262,0.006429969247973011,0.009264275652833387,-0.002834306404860376,0.24014537321778007,0.06122006717954265,0.17892530603823742,0.0472462957785853,0.0876042908224075,-0.040357995043822203,0.4540117416829743,0.11474699317369152,0.3392647485092828,-0.10930947721554385
2014-07-07,AAL,40.1,3.4854586129753917,True,True,44.88,-0.10650623885918009,True,0.07182044887780537,0.0004556731304743433,0.07136477574733102,-0.04887780548628429,-0.01832818591463725,-0.030549619571647035,-0.1152119700748131,-0.002480887043693869,-0.11273108303111923,0.2825436408977555,0.051946736874082466,0.23059690402367305,-0.026683291770573603,0.04961774087387982,-0.07630103264445343,-0.14364089775561095
2014-09-30,AAL,35.48,4.806873977086743,True,True,44.88,-0.2094474153297684,False,-0.03917700112739553,-0.019084356918079526,-0.020092644209316002,0.13416009019165753,0.007055121307481427,0.1271049688841761,0.44954904171364163,0.054562988529083256,0.39498605318455837,0.5200112739571592,0.05989239671099367,0.4601188772461655,0.10146561443066515,-0.0457313978276318,0.14719701225829696,-0.20800450958286343
2015-01-30,AAL,49.08,5.0,True,True,56.2,-0.1266903914590748,True,-0.018948655256723734,0.030584106292304014,-0.04953276154902775,-0.01568867155664211,0.06287290047631,-0.07856157203295211,0.04299103504482482,0.06011531712208584,-0.01712428207726102,-0.1318255908720456,0.053797944346954285,-0.18562353521899988,-0.22290138549307248,-0.05184256705941326,-0.17105881843365922,-0.06377343113284428
