,ticker,close,ret3y,sma200_rising,strong,hi252,dd,fresh,r5,spy5,x5,r20,spy20,x20,r60,spy60,x60,r120,spy120,x120,r250,spy250,x250,worst60
2018-06-15,AA,45.34,0.5697217500285625,True,True,62.35,-0.27281475541299116,True,0.00485222761358628,-0.00862411142784969,0.01347633904143597,0.045655050727833935,0.007974596759643404,0.03768045396819053,-0.09858844287604773,0.04301230469454764,-0.14160074757059538,-0.3460520511689458,-0.02630534406235352,-0.31974670710659225,-0.5207322452580503,0.04377007180745496,-0.5645023170655052,-0.1171151301279224
2022-04-21,AA,72.2,1.5306694707325623,True,True,98.09,-0.2639412784177796,True,-0.023268698060941895,-0.023398621193443825,0.0001299231325019301,-0.1405817174515236,-0.11094370634159711,-0.029638011109926476,-0.37811634349030476,-0.10452905994612616,-0.2735872835441786,-0.4479224376731302,-0.1860475733917728,-0.2618748642813574,-0.4427977839335181,-0.059763502716522865,-0.38303428121699523,-0.45200831024930754
2026-06-16,AA,62.87,0.7845586148169175,True,True,84.38,-0.2549182270680256,True,-0.16812470176554795,-0.022776644942891888,-0.14534805682265606,-0.25481151582630823,0.0005197713006277471,-0.255331287126936,,,,,,,,,,-0.3243200254493399
2025-02-27,AFRM,61.71,0.6948640483383688,True,True,82.527,-0.25224471990984765,True,-0.1469777993842165,-0.021092214340654558,-0.12588558504356195,-0.2322152001296386,-0.030715323476625755,-0.20149987665301283,-0.20110192837465568,-0.010152978377916289,-0.1909489499967394,0.1826284232701345,0.0906931031535767,0.0919353201165578,-0.18295251985091554,0.17818989829929066,-0.3611424181502062,-0.4992545778642036
2025-09-30,AFRM,73.08,2.7904564315352696,True,True,100.0,-0.2692,True,0.04885057471264376,0.004413221651805799,0.04443735306083796,0.03886152162014245,0.031342880302621,0.007518641317521446,0.03981937602627261,0.036326518358401616,0.0034928576678709966,-0.38711001642036125,-0.019514245399141372,-0.3675957710212199,,,,-0.1750136836343733
2021-05-28,AMC,261.2,0.8076124567474048,True,True,367.2,-0.28867102396514166,True,1.105666156202144,0.005118560137129746,1.1005475960650142,1.2247320061255746,0.01768879154366254,1.207043214581912,0.694486983154671,0.06649366726978378,0.6279933158848872,0.6129402756508424,0.11451290353299681,0.4984273721178456,-0.545176110260337,-0.05397105037615468,-0.4912050598841823,0.09226646248085757
2021-08-24,AMC,442.6,1.3294736842105266,True,True,726.2,-0.3905260258881851,True,0.06484410302756438,0.008013929504207873,0.05683017352335651,-0.09444193402620882,-0.022568475567560364,-0.07187345845864845,-0.04812471757794856,0.04502533651807039,-0.09315005409601895,-0.5989606868504294,-0.019979016451994625,-0.5789816703984347,-0.763669227293267,-0.07728196084559236,-0.6863872664476747,-0.2376863985539992
2022-06-28,APA,38.77,0.3537011173184359,True,True,51.95,-0.25370548604427334,True,-0.1743616198091309,0.006830421647182616,-0.1811920414563135,-0.09233943770956943,0.05356626822540411,-0.14590570593497354,-0.042816610781532205,-0.0168921581505318,-0.025924452631000405,0.129481557905597,0.006882963352160765,0.12259859455343625,-0.15501676554036636,0.14585577301983466,-0.300872538560201,-0.22233685839566686
2018-12-24,BA,294.16,1.0660205084983847,True,True,394.28,-0.2539312163944404,True,0.1007954854500952,0.0675940940513784,0.033201391398716806,0.21794261626325784,0.12464794742681584,0.093294668836442,0.23120070709817786,0.19164461892976026,0.0395560881684176,0.2712809355452812,0.2477596654433727,0.02352127010190852,0.11503943432145758,0.3686523854228898,-0.2536129511014322,-0.005745172695131862
2020-03-09,BBY,66.87,0.5010101010101011,True,True,91.99,-0.2730731601261006,True,-0.1431135038133693,-0.12536921562192327,-0.017744288191446023,-0.10049349484073589,-0.03416839878933742,-0.06632509605139847,0.22954987288769235,0.1383874849578821,0.09116238792981024,0.6632271571706294,0.27021113663712937,0.39301602053350004,0.5380589202931059,0.3989352003792437,0.1391237199138622,-0.28054433976372073
2021-12-09,BBY,104.38,0.7794067507671327,True,True,141.97,-0.2647742480805805,True,-0.03985437823337801,0.00021443122118580682,-0.040068809454563814,-0.01801111324008431,-0.000557521175083231,-0.017453592065001078,-0.031136232994826596,-0.10743004181408822,0.07629380881926162,-0.22149837133550476,-0.10498552589257004,-0.11651284544293472,-0.22044452960337224,-0.15694221078589043,-0.0635023188174818,-0.1801111324008431
2020-03-20,BIIB,278.77,0.014446870451237048,True,True,374.99,-0.25659350916024437,True,0.06449761452093128,0.1076048951048949,-0.043107280583963625,0.21752699357893612,0.2307255244755244,-0.01319853089658829,0.012017075008071254,0.36783216783216766,-0.3558150928240964,-0.04397890734297083,0.45930944055944045,-0.5032883479024113,-0.05918857839796243,0.7110139860139859,-0.7702025644119483,-0.05926032212935384
2026-03-12,CCL,23.92,1.2005519779208833,True,True,34.03,-0.2970908022333235,True,0.04264214046822734,-0.00939855268294143,0.05204069315116877,0.16973244147157174,0.02011830765997069,0.14961413381160105,0.12918060200668902,0.10983995435846627,0.019340647648222742,-0.007525083612040295,0.1487853947091855,-0.1563104783212258,,,,-0.019648829431438197
2018-03-12,CI,167.31,0.3890410958904109,True,True,227.13,-0.26337339849425434,True,-0.00519992827685134,-0.02883096366508675,0.02363103538823541,0.015181399796784456,-0.048003734022691424,0.06318513381947588,0.04554419939035337,-0.004021255206089314,0.04956545459644268,0.13442113442113457,0.0422949877926182,0.09212614662851637,-0.02199509891817586,-0.0002872325147206256,-0.021707866403455234,-0.02564102564102555
2020-03-12,CI,164.27,0.08129278567667209,True,True,224.64,-0.2687410968660968,True,-0.10805381384306323,-0.030631574704768183,-0.07742223913829505,0.10689718146953187,0.12127685300874602,-0.014379671539214156,0.3139343763316491,0.3026480190238199,0.011286357307829231,0.07231996103975158,0.42114384748700173,-0.34882388644725015,0.45017349485602964,0.5701906412478335,-0.12001714639180383,-0.2786266512449017
2025-08-01,COIN,314.69,4.349141594424613,True,True,444.65,-0.2922748228944113,True,-0.013187581429343065,0.02486649938879215,-0.038054080818135216,-0.03225396421875493,0.03752493083703268,-0.0697788950557876,0.1485271219295179,0.10216817860129956,0.04635894332821833,-0.31059137563951833,0.10858585858585856,-0.4191772342253769,-0.5352251422034383,0.20155375410152465,-0.736778896304963,-0.07381867869967274
2025-03-07,CRWD,83.375,0.6530359355638167,True,True,113.8975,-0.26798217695735194,True,0.06067406296851585,-0.022763578274760388,0.08343764124327624,-0.035592203898050956,-0.12265592443394913,0.08706372053589817,0.46554722638680657,0.03502222530907084,0.4305250010777357,0.32533733133433285,0.1267537157938603,0.19858361554047255,0.2863268365817091,0.16748854007501057,0.11883829650669853,-0.1064467766116941
2026-02-03,CRWD,105.4325,3.041494968854816,True,True,141.725,-0.25607690950784967,True,-0.019775685865364157,0.0037561817469871084,-0.023531867612351265,-0.03331515424560738,-0.006381158180209678,-0.026933996065397703,0.056955872240533,0.0422461676794339,0.014709704561099102,0.7243259905626822,0.07444201122503746,0.6498839793376447,,,,-0.1873473549427358
2020-04-30,CVNA,16.022,6.217117117117116,True,True,23.046,-0.304781740866094,True,0.21919860192235685,-0.009639217846323378,0.22883781976868023,0.16065410061165908,0.04764527678325514,0.11300882382840394,0.8827861690176011,0.11270999724593778,0.7700761717716633,1.4963175633503938,0.18211236573946565,1.3142051976109281,2.6635875670952442,0.43693197466262723,2.226655592432617,-0.10672824865809505
2020-09-11,CVNA,34.848,8.454150841020075,True,True,47.0,-0.25855319148936173,True,-0.05429292929292917,-0.01020774711129746,-0.04408518218163171,0.22503443526170797,0.038286535352930695,0.18674789990877727,0.4857667584940313,0.1048614021433274,0.3809053563507039,0.5010330578512396,0.1483865173920853,0.35264654045915433,0.8871097337006428,0.3440100580734,0.5430996756272428,-0.09176997245179064
