version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
stop = 2xATR only (not 'closer'),INTU,2011-01-03,2011-01-06,49.68,47.97906840974794,58,98.65403223461955,-46.98000000000013,-0.47620962808972717,-0.016304347826087,3,False,close_below_ema20
stop = 2xATR only (not 'closer'),SBUX,2011-01-03,2011-01-07,16.245,15.645252328250672,110,65.97224389242618,-24.750000000000156,-0.3751577715070191,-0.01385041551246546,4,False,close_below_ema20
stop = 2xATR only (not 'closer'),SBUX,2011-01-10,2011-01-12,16.43,15.743983045965178,81,55.567373276820526,-11.340000000000046,-0.20407658903557413,-0.008520998174071854,2,False,close_below_ema20
stop = 2xATR only (not 'closer'),TMUS,2011-01-03,2011-01-19,25.52,24.34927891770188,85,99.5112919953401,110.38057091304204,1.1092265882570485,0.05088538212845383,11,True,close_below_ema20
stop = 2xATR only (not 'closer'),ADI,2011-01-03,2011-01-20,38.02,36.825007441419366,83,99.18438236219286,97.10999999999956,0.9790855948004167,0.030773277222514325,12,False,time_stop
stop = 2xATR only (not 'closer'),UNP,2011-01-07,2011-01-20,46.73,45.29085922488497,70,100.73985425805198,100.73985425805198,1.0,0.0307969350548904,8,True,breakeven_stop
stop = 2xATR only (not 'closer'),BKNG,2011-01-05,2011-01-21,16.7048,15.906657274474034,70,55.86999078681755,21.532000000000053,0.38539472974247385,0.018413869067573436,11,False,close_below_ema20
stop = 2xATR only (not 'closer'),UNP,2011-01-21,2011-01-24,47.745,45.99709820262193,58,101.37830424792806,-35.37999999999997,-0.3489898579628595,-0.012776206932663094,1,False,close_below_ema20
stop = 2xATR only (not 'closer'),C,2011-01-21,2011-01-26,48.5,46.14957290231291,41,96.36751100517063,-4.100000000000058,-0.04254545912034681,-0.002061855670103122,3,False,close_below_ema20
stop = 2xATR only (not 'closer'),REGN,2011-01-13,2011-01-31,33.33,31.649845784494637,60,100.80925293032166,4.200000000000017,0.04166284222841146,0.002100210021002109,11,False,close_below_ema20
stop = 2xATR only (not 'closer'),TMUS,2011-02-04,2011-02-07,25.9,24.418422663678683,39,57.7815161165313,5.460000000000022,0.09449388605498905,0.005405405405405428,1,False,close_below_ema20
stop = 2xATR only (not 'closer'),TMUS,2011-02-09,2011-02-11,26.0,24.570734180795217,39,55.74136694898654,-11.700000000000028,-0.2098979741689444,-0.011538461538461565,2,False,close_below_ema20
stop = 2xATR only (not 'closer'),TMO,2011-02-11,2011-02-17,57.14,55.339671498643895,35,63.01149754746369,-67.20000000000006,-1.0664720347168604,-0.03360168008400423,4,False,stop_gap
stop = 2xATR only (not 'closer'),AAPL,2011-02-01,2011-02-22,12.1893,11.736840875164535,231,104.51805783699217,6.999300000000101,0.06696737525410497,0.0024857867145775753,14,False,time_stop
stop = 2xATR only (not 'closer'),ORCL,2011-02-17,2011-02-23,33.14,31.991607155397755,96,110.24571308181555,-56.64000000000033,-0.5137614735002589,-0.017803258901629555,3,False,close_below_ema20
stop = 2xATR only (not 'closer'),CAT,2011-01-26,2011-02-24,94.93,91.62098586965165,21,69.48929673731554,121.18028260696718,1.7438697511223156,0.06078678655799871,20,True,close_below_ema20
stop = 2xATR only (not 'closer'),PFE,2011-02-24,2011-02-28,17.9032,17.283701271919547,174,107.7927786859985,13.20660000000013,0.12251841135361298,0.004239465570400864,2,False,close_below_ema20
stop = 2xATR only (not 'closer'),CAT,2011-02-28,2011-03-02,102.72,98.580310232848,26,107.6319339459518,-74.62000000000012,-0.6932886668883151,-0.02794003115264802,2,False,close_below_ema20
stop = 2xATR only (not 'closer'),MRSH,2011-01-24,2011-03-10,27.6,26.85938487592217,99,73.32089728370524,204.3499999999998,2.787063546280609,0.07478773239642797,32,True,close_below_ema20
stop = 2xATR only (not 'closer'),COP,2011-01-21,2011-03-11,51.746,50.230850255216836,67,101.51503290047211,252.14308315568877,2.4838004377430107,0.07272696632278125,34,True,close_below_ema20
stop = 2xATR only (not 'closer'),ICE,2011-02-24,2011-03-11,24.636,23.360007890539187,84,107.18333719470824,77.78400000000016,0.7257098168038795,0.03758727066082164,11,False,time_stop
stop = 2xATR only (not 'closer'),REGN,2011-02-25,2011-03-14,36.64,34.0673762902593,41,105.47757209936884,72.15999999999991,0.6841264788690723,0.04803493449781653,11,False,time_stop
stop = 2xATR only (not 'closer'),CMCSA,2011-03-11,2011-03-15,11.7104,11.16671703221096,200,108.73659355780809,-106.84000000000005,-0.9825579090189196,-0.04561757070638067,2,False,close_below_ema20
stop = 2xATR only (not 'closer'),DIS,2011-03-11,2011-03-15,42.83,41.16332248294938,65,108.33403860829002,-110.49999999999972,-1.019993359608251,-0.03969180480971272,2,False,close_below_ema20
stop = 2xATR only (not 'closer'),AAPL,2011-03-14,2011-03-15,12.6136,12.150493244260154,129,59.74077149044008,-59.74077149044008,-1.0,-0.036714875669106806,1,False,stop
stop = 2xATR only (not 'closer'),LIN,2011-03-11,2011-03-16,97.51,94.38545848602708,22,68.73991330740444,-13.419999999999987,-0.19522864307357848,-0.00625576863911393,3,False,close_below_ema20
stop = 2xATR only (not 'closer'),BKNG,2011-03-02,2011-03-17,18.0896,17.034296473234466,102,107.64095973008453,41.86079999999992,0.388892853658757,0.02268706881301959,11,False,close_below_ema20
stop = 2xATR only (not 'closer'),CAT,2011-03-16,2011-03-17,101.7,96.30730031448857,19,102.46129402471719,3.609999999999957,0.03523281678571325,0.0018682399213372442,1,False,close_below_ema20
stop = 2xATR only (not 'closer'),DHR,2011-03-16,2011-03-17,34.1033,32.631345953931074,71,104.50873727089353,-32.44700000000005,-0.3104716490439961,-0.013400462711819699,1,False,close_below_ema20
stop = 2xATR only (not 'closer'),PM,2011-03-17,2011-03-18,62.64,60.78091353032176,55,102.24975583230315,-51.699999999999875,-0.5056246792881495,-0.015006385696040833,1,False,close_below_ema20
stop = 2xATR only (not 'closer'),COP,2011-03-18,2011-03-21,59.3616,56.08742701570171,31,101.49936251324718,-16.78029999999999,-0.16532419105400697,-0.00911868952319344,1,False,close_below_ema20
stop = 2xATR only (not 'closer'),ICE,2011-03-18,2011-03-21,25.396,24.149433567142967,83,103.46501392713377,-20.086000000000073,-0.1941332556543783,-0.009529059694440104,1,False,close_below_ema20
stop = 2xATR only (not 'closer'),LOW,2011-03-21,2011-04-01,26.49,25.248933394248052,83,103.00852827741156,-1.6599999999999646,-0.016115170537428027,-0.0007550018875047027,9,False,close_below_ema20
stop = 2xATR only (not 'closer'),DHR,2011-03-18,2011-04-04,33.9286,32.382940643950775,67,103.55917685529828,94.11489999999989,0.9088030907343466,0.041401649345979445,11,False,time_stop
stop = 2xATR only (not 'closer'),CAT,2011-03-18,2011-04-08,104.99,99.45088649565595,18,99.7040430781928,99.9000000000002,1.001965385913726,0.05286217735022394,15,False,time_stop
stop = 2xATR only (not 'closer'),BX,2011-04-04,2011-04-12,17.949,16.722088525788354,89,109.1951212048366,-32.315900000000255,-0.2959463723601681,-0.020229539250097656,6,False,close_below_ema20
stop = 2xATR only (not 'closer'),LOW,2011-04-04,2011-04-19,26.84,25.760147871769817,101,109.06506495124846,-36.35999999999994,-0.3333789790181914,-0.013412816691505194,11,False,close_below_ema20
stop = 2xATR only (not 'closer'),VRTX,2011-04-08,2011-04-19,47.25,44.46121931192323,39,108.76244683499402,-9.75,-0.08964491222592616,-0.005291005291005291,7,False,close_below_ema20
stop = 2xATR only (not 'closer'),ISRG,2011-04-19,2011-04-26,39.7778,37.717065309368934,52,107.1582039128154,-30.10279999999986,-0.2809192287740441,-0.014553343824947516,4,False,close_below_ema20
stop = 2xATR only (not 'closer'),FISV,2011-04-12,2011-04-28,15.71,15.232235966076885,229,109.40796376839344,70.41749999999942,0.6436231657602802,0.01957352005092282,11,False,time_stop
