version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,days_held,partial_taken,exit_reason
B_nofilter,INTU,2011-01-03,2011-01-05,49.68,48.81114,24,20.85263999999995,-20.85263999999995,-1.0,2,False,stop
B_nofilter,SBUX,2011-01-03,2011-01-06,16.245,15.959025,37,10.58107500000002,-10.58107500000002,-1.0,3,False,stop
B_nofilter,TMUS,2011-01-03,2011-01-19,25.52,24.6753,47,39.700899999999976,45.57620000000001,1.147989088408576,11,True,close_below_ema20
B_nofilter,UNP,2011-01-07,2011-01-20,46.73,45.94401,25,19.649749999999955,18.863759999999957,0.96,8,True,breakeven_stop
B_nofilter,BKNG,2011-01-05,2011-01-21,16.7048,15.9512328,73,55.010405599999935,22.454800000000056,0.40819186397709606,11,False,close_below_ema20
B_nofilter,UNP,2011-01-21,2011-01-24,47.745,46.51344,25,30.788999999999866,-15.249999999999986,-0.4953067654032301,1,False,close_below_ema20
B_nofilter,C,2011-01-21,2011-01-26,48.5,47.152800000000006,13,17.51359999999992,-1.3000000000000185,-0.07422802850356434,3,False,close_below_ema20
B_nofilter,REGN,2011-01-26,2011-01-31,33.75,32.907059999999994,18,15.172920000000104,-6.300000000000026,-0.41521341969772346,3,False,close_below_ema20
B_nofilter,AAPL,2011-02-01,2011-02-22,12.1893,11.736840875164535,102,46.15083073321732,3.0906000000000446,0.06696737525410497,14,False,time_stop_10d
B_nofilter,MRSH,2011-01-24,2011-03-10,27.6,27.12285,44,20.994600000000077,64.55460000000001,3.074819239232935,32,True,close_below_ema20
B_nofilter,COP,2011-01-21,2011-03-11,51.746,50.6585907,23,25.010413900000103,77.62060460000004,3.1035313893785546,34,True,close_below_ema20
B_nofilter,ICE,2011-02-24,2011-03-14,24.636,24.13584,52,26.00831999999987,36.66831999999987,1.4098688419705716,12,True,close_below_ema20
B_nofilter,CMCSA,2011-03-11,2011-03-14,11.7104,11.4177708,110,32.18921200000004,-32.18921200000004,-1.0,1,False,stop
B_nofilter,DIS,2011-03-11,2011-03-14,42.83,42.117839999999994,29,20.652640000000126,-20.652640000000126,-1.0,1,False,stop
B_nofilter,AAPL,2011-03-14,2011-03-15,12.6136,12.3055821,102,31.41782579999994,-40.361399999999975,-1.2846655989798013,1,False,stop_gap
