version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,days_held,partial_taken,exit_reason
B_costs,INTU,2011-01-03,2011-01-05,49.729679999999995,48.81114,24,22.044959999999833,-23.216427359999784,-1.0531399176954714,2,False,stop
B_costs,ADI,2011-01-03,2011-01-05,38.05802,37.372589999999995,16,10.96688000000006,-11.56484144000001,-1.0545242986154628,2,False,stop
B_costs,TMUS,2011-01-03,2011-01-10,25.545519999999996,24.6753,46,40.030119999999826,38.814995959999784,0.9696447564983556,5,True,breakeven_stop
B_costs,SBUX,2011-01-10,2011-01-12,16.44643,15.879105,72,40.84740000000002,-12.435840000000127,-0.30444630502798514,2,False,close_below_ema20
B_costs,UNP,2011-01-07,2011-01-20,46.77672999999999,45.94401,25,20.81799999999987,18.79587646999989,0.9028665803631476,8,True,breakeven_stop
B_costs,BKNG,2011-01-05,2011-01-21,16.721504799999998,15.9512328,73,56.22985599999989,19.993444400000193,0.35556634539487764,11,False,close_below_ema20
B_costs,UNP,2011-01-21,2011-01-24,47.79274499999999,46.51344,25,31.982624999999665,-17.621999999999716,-0.5509866685426822,1,False,close_below_ema20
B_costs,C,2011-01-24,2011-01-26,49.1491,47.152800000000006,24,47.91119999999978,-19.139999999999986,-0.39948905475129143,2,False,close_below_ema20
B_costs,ADI,2011-01-12,2011-01-28,38.148109999999996,36.87377871017805,30,38.22993869465833,33.37770000000013,0.8730775182923279,11,False,time_stop_10d
B_costs,REGN,2011-01-26,2011-01-31,33.78375,32.907059999999994,34,29.80746000000012,-14.183099999999982,-0.475823837388356,3,False,close_below_ema20
B_costs,GOOGL,2011-01-28,2011-01-31,15.523507999999998,15.0307542,79,38.92755019999979,-34.24753489999978,-0.8797762696096905,1,False,close_below_ema20
B_costs,FISV,2011-02-01,2011-02-04,15.555539999999997,15.239745000000001,77,24.316214999999694,-39.700814999999814,-1.632688927943774,3,False,stop_gap
B_costs,TMUS,2011-02-04,2011-02-07,25.925899999999995,25.2747,46,29.955199999999806,4.050760000000267,0.13522727272728252,1,False,close_below_ema20
B_costs,AAPL,2011-02-01,2011-02-22,12.201489299999999,11.749030175164535,98,44.34099423387546,0.5773278000001234,0.013020181662030905,14,False,time_stop_10d
B_costs,BKNG,2011-02-07,2011-02-22,17.6176,17.2603224,67,23.937599199999983,22.376362078399957,0.9347788761706718,10,True,breakeven_stop
B_costs,PFE,2011-02-24,2011-02-28,17.921103199999997,17.6957865,67,15.096218899999794,2.6811858999999956,0.1776064534941284,2,False,close_below_ema20
B_costs,COP,2011-01-21,2011-03-11,51.797746,50.6585907,13,14.809018899999984,43.91323966039998,2.9653037758227203,34,True,close_below_ema20
B_costs,ICE,2011-02-24,2011-03-14,24.660635999999997,24.13584,49,25.71500399999975,33.58111252799981,1.3058956758474598,12,True,close_below_ema20
B_costs,CMCSA,2011-03-11,2011-03-14,11.722110399999998,11.4177708,106,32.25999759999986,-33.470281304799826,-1.0375165466472311,1,False,stop
B_costs,REGN,2011-02-28,2011-03-15,37.21718,34.73523,24,59.566799999999944,20.03352000000018,0.3363202320755891,11,False,time_stop_10d
B_costs,AAPL,2011-03-14,2011-03-15,12.626213599999998,12.3055821,97,31.10125549999976,-40.791555499999745,-1.3115726308862374,1,False,stop_gap
B_costs,CVX,2011-03-14,2011-03-17,100.85074999999999,97.5024,8,26.78679999999997,-0.5730399999999918,-0.021392626218883645,3,False,close_below_ema20
B_costs,CAT,2011-03-16,2011-03-17,101.8017,96.91299000000001,10,48.88709999999989,-0.13589999999993552,-0.0027798744454045304,1,False,close_below_ema20
B_costs,PM,2011-03-17,2011-03-18,62.702639999999995,61.38855,18,23.653619999999876,-19.158119999999897,-0.8099445243476473,1,False,close_below_ema20
B_costs,COP,2011-03-18,2011-03-21,59.4209616,56.1467886157017,12,39.290075811579555,-7.91378279999995,-0.20141938228756492,1,False,close_below_ema20
B_costs,LOW,2011-03-21,2011-04-01,26.516489999999994,25.944029999999998,28,16.028879999999887,-2.0428799999998546,-0.12744995283512442,9,False,close_below_ema20
B_costs,CAT,2011-03-18,2011-04-08,105.09498999999998,99.55587649565594,10,55.39113504344044,53.344700000000245,0.9630548274225599,15,False,time_stop_10d
B_costs,DHR,2011-04-01,2011-04-11,35.166831699999996,34.176689100000004,35,34.654990999999704,-21.02563399999969,-0.6067130128528924,6,False,close_below_ema20
B_costs,VZ,2011-04-11,2011-04-18,37.93789999999999,37.222739999999995,32,22.885119999999915,-24.076247679999824,-1.0520481290899901,5,False,stop
B_costs,VRTX,2011-04-08,2011-04-19,47.29725,46.10385,26,31.02839999999992,-8.950499999999877,-0.28846153846153527,7,False,close_below_ema20
B_costs,ISRG,2011-04-19,2011-04-25,39.817577799999995,38.8555056,31,29.824238199999826,-31.02875887359974,-1.0403873073143548,3,False,stop
B_costs,REGN,2011-03-16,2011-05-05,38.7387,37.6623,30,32.29199999999999,164.03397749999996,5.079709448160536,35,True,close_below_ema20
B_costs,SBUX,2011-05-05,2011-05-10,18.343324999999997,17.882099999999998,69,31.824524999999923,-12.86849999999967,-0.4043579597810086,3,False,close_below_ema20
B_costs,CAT,2011-05-10,2011-05-12,112.87276,108.28161,11,50.50264999999999,-41.60155999999998,-0.8237500408394408,2,False,close_below_ema20
B_costs,ORCL,2011-05-12,2011-05-16,35.7357,34.53543,34,40.80918000000011,-41.98338462000005,-1.0287730510635091,2,False,stop
B_costs,ADP,2011-04-19,2011-05-24,45.60305749999999,45.0645903,25,13.46167999999981,29.3084098971999,2.1771732723701884,24,True,close_below_ema20
