date,ticker,universe,score,quality,value,timing,n_flags,rank,quintile,n_eligible,fwd63,fwd252,spy63,spy252,x63,x252,e63,e252
2013-04-01,AAPL,top-100,81.19945284205272,91.5048951454061,95.43184885290148,60.0,1,1,1,93,-0.039591639204479945,0.2830410434862767,0.03949867285358977,0.22255570480150655,-0.07909031205806971,0.06048533868477013,-0.09867837613580804,-0.03239459022128305
2013-04-01,KLAC,top-100,76.42848920260137,71.77123160699803,83.84615384615384,71.0803864067621,0,2,1,93,0.07982902759444332,0.380256458608335,0.03949867285358977,0.22255570480150655,0.04033035474085356,0.15770075380682846,0.02074229066311522,0.06482082490077529
2013-04-01,TMUS,top-100,76.01170932098475,58.71553122465531,83.84615384615385,87.69124741557545,0,3,1,93,0.29540324294518694,0.8038437458716492,0.03949867285358977,0.22255570480150655,0.25590457009159717,0.5812880410701426,0.23631650601385884,0.48840811216408947
2013-04-01,ABT,top-100,74.31875190448852,68.27308538987371,95.32681799075243,49.16977928692701,0,4,1,93,-0.004169672167346206,0.11001972589833797,0.03949867285358977,0.22255570480150655,-0.04366834502093597,-0.11253597890316858,-0.0632564090986743,-0.20541590780922175
2013-04-01,ORCL,top-100,73.62153148147806,68.17938245857954,79.97829232995659,71.06972275597036,0,5,1,93,-0.07096687163461002,0.2757249757373412,0.03949867285358977,0.22255570480150655,-0.11046554448819979,0.05316927093583468,-0.13005360856593812,-0.0397106579702185
2013-04-01,BKNG,top-100,70.37148468131645,94.41041014946124,55.544749926879206,60.43976463301331,0,6,1,93,0.20836284241234426,0.7130763444214081,0.03949867285358977,0.22255570480150655,0.1688641695587545,0.49052063961990156,0.14927610548101616,0.3976407107138484
2013-04-01,ISRG,top-100,67.90399955239715,79.81505619279342,60.84594650632387,62.52140512955963,0,7,1,93,0.035020857245803505,-0.09614391685332324,0.03949867285358977,0.22255570480150655,-0.004477815607786262,-0.3186996216548298,-0.0240658796855246,-0.41157955056088297
2013-04-01,IBM,top-100,66.72558902638269,71.55717761557177,71.53846153846153,52.260768982191856,0,8,1,93,-0.0951280466725356,-0.07489404043996006,0.03949867285358977,0.22255570480150655,-0.13462671952612537,-0.2974497452414666,-0.1542147836038637,-0.3903296741475198
2013-04-01,INTC,top-100,64.97226517153507,35.22839184335534,80.44443278413266,81.85821965083052,0,9,1,93,0.1252888997921211,0.25093287195444747,0.03949867285358977,0.22255570480150655,0.08579022693853133,0.02837716715294092,0.066202162860793,-0.06450276175311226
2013-04-01,COP,top-100,64.74650188324557,55.3863978681497,99.61538461538461,54.06043513295729,2,10,1,93,0.022898811276599096,0.21244620781220136,0.03949867285358977,0.22255570480150655,-0.01659986157699067,-0.010109496989305189,-0.03618792565472901,-0.10298942589535837
2013-04-01,CAT,top-100,64.16199787316752,44.30758313057583,72.59234966943016,78.46961563877566,0,11,1,93,-0.027892658049422647,0.1918894800124642,0.03949867285358977,0.22255570480150655,-0.06739133090301241,-0.03066622478904235,-0.08697939498075075,-0.12354615369509553
2013-04-01,QCOM,top-100,64.13148179311715,80.86403661221179,59.4331983805668,48.2231585064652,0,12,1,93,-0.07124289851782828,0.21924400725480653,0.03949867285358977,0.22255570480150655,-0.11074157137141805,-0.003311697546700021,-0.13032963544915638,-0.0961916264527532
2013-04-01,DAL,fallen,63.59858734739342,53.03864702815433,74.71627540725429,60.59420289855073,0,13,1,93,0.1913798672169389,1.1474035528440698,0.03949867285358977,0.22255570480150655,0.15188119436334913,0.9248478480425633,0.1322931302856108,0.8319679191365101
2013-04-01,JPM,top-100,63.38389778382587,52.4493106244931,74.17198981999596,61.4313725490196,0,14,1,93,0.10428849319168032,0.30449199461319765,0.03949867285358977,0.22255570480150655,0.06478982033809055,0.0819362898116911,0.045201756260352215,-0.010943639094362079
2013-04-01,CSCO,top-100,62.73287153003546,59.529602595296026,67.57874015748033,59.46405823475889,0,15,1,93,0.18624185268500892,0.10905866066793557,0.03949867285358977,0.22255570480150655,0.14674317983141916,-0.11349704413357098,0.12715511575368083,-0.20637697303962416
2013-04-01,VFC,fallen,62.41940618353378,81.40858533194299,56.71699512608603,44.958413067677284,0,16,1,93,0.18319826587271137,0.5219489192775444,0.03949867285358977,0.22255570480150655,0.1436995930191216,0.29939321447603784,0.12411152894138328,0.20651328556998466
2013-04-01,HUM,fallen,61.325801678019076,38.78779979144942,69.81969523014298,79.28877463581834,0,17,1,93,0.13920791105428565,0.5192463874372077,0.03949867285358977,0.22255570480150655,0.09970923820069588,0.2966906826357012,0.08012117412295755,0.20381075372964802
2013-04-01,ACN,top-100,61.018443311629426,79.08990846947052,48.5592686002522,55.653071628855464,0,18,1,93,-0.03922818814647444,0.0763930699968205,0.03949867285358977,0.22255570480150655,-0.07872686100006421,-0.14616263480468605,-0.09831492507780254,-0.23904256371073923
2013-04-01,DE,top-100,60.22130148206354,51.19684856911134,71.37578108166343,71.0083682008368,1,19,1,93,-0.03836253761916475,0.09277441716575252,0.03949867285358977,0.22255570480150655,-0.07786121047275452,-0.12978128763575403,-0.09744927455049285,-0.2226612165418072
2013-04-01,DHR,top-100,59.77700879860723,72.59312362414552,53.09251559251558,52.52963717260024,0,20,2,93,0.04751551551551536,0.2167447447447448,0.03949867285358977,0.22255570480150655,0.008016842661925594,-0.005810960056761738,-0.011571221415812745,-0.09869088896281492
2013-04-01,HAS,fallen,59.75442933201074,53.41023635731665,70.38461538461539,51.62800181241502,0,21,2,93,0.05877581225895523,0.31887657079425624,0.03949867285358977,0.22255570480150655,0.019277139405365462,0.0963208659927497,-0.00031092467237287674,0.003440937086696516
