year,A,A_nofilter,B,B_nofilter,A_costs,B_costs,SPY_buy_hold
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.109591458572311
2011,-0.1502053253800002,-0.2320990794500002,-0.04454578106666662,-0.1129966852333335,-0.18896674739909536,-0.12377805646163198,-0.001988071570576566
2012,0.10523265389385505,0.1312154641364187,-0.05163601611883806,-0.03570621198868318,0.039229653484750715,-0.09190262500021285,0.1347410358565737
2013,0.22938489764816672,0.17519954644380697,0.19623874384239848,0.20314241093475083,0.2003433260721057,0.11979090103018786,0.2968892633944247
2014,-0.1470322241022738,-0.14889798774977325,-0.08490927401438131,-0.07017225005177985,-0.206246877921879,-0.1364478376028354,0.11289187286804903
2015,-0.07785337749341525,0.09051701504445431,-0.11991579442518341,0.0690291817313684,-0.16044432163780598,-0.22727598173087338,-0.008124939184586899
2016,0.14693014494662715,0.1494259401903184,0.049612333548735066,0.04602188898819848,0.06837671521960087,0.00042522541605216624,0.09643400206013641
2017,0.22150983130857416,0.21946717002937133,0.18878406829345473,0.07347543628199804,0.25424510297375247,0.04772882170346371,0.19384422672571922
2018,-0.06229784353035439,-0.043193431390211035,-0.0536198197415918,-0.05999193389064916,-0.07080149268067537,-0.09880270474925101,-0.06347897774113775
2019,0.03699712781285003,0.10693429576081082,-0.057478691138005855,0.02316480710870894,-0.023494564344504032,-0.05388471676693274,0.2878521126760565
2020,-0.023002337204205525,-0.03617896457479497,0.03728253332910114,-0.018821475988674785,-0.042871962556708665,-0.0034485644094860435,0.16162306592928588
2021,-0.13691146897776785,-0.12294825419002997,-0.010650442944826977,-0.034871770523348,-0.14598718394516885,-0.169000370207686,0.270354124317963
2022,-0.06356418322097146,-0.16429087626195515,-0.06267570848898418,-0.10889899933190017,-0.07792059906310655,-0.08068139855293621,-0.19481640559204982
2023,0.09237734796563979,0.18410749023961803,-0.02953252187305422,0.06930925893204587,0.021302543669530216,-0.028103122056544305,0.24286797583871556
2024,-0.0658930613877613,-0.03168723198864709,-0.07493712039304634,-0.0822632170557277,-0.09323255273351638,0.02137754421993332,0.23304790557741262
2025,-0.004887796163574709,-0.0157556921990335,0.027789333394846683,-0.011175934664024112,-0.11608722106588087,-0.13472054889173546,0.16352716352716334
2026,0.0034140621338654142,-0.07372528280775725,-0.05000758121412596,-0.095491572246439,-0.030643689264546303,-0.08067729511578337,0.1294433364617551
