date,ticker,universe,score,quality,value,timing,n_flags,rank,quintile,n_eligible,fwd63,fwd252,spy63,spy252,x63,x252,e63,e252
2013-04-01,AAPL,top100,88.89374454235134,91.12107191054558,95.5449710248472,60.0,1,1,1,66,-0.039591639204479945,0.2830410434862767,0.03949867285358977,0.22255570480150655,-0.07909031205806971,0.06048533868477013,-0.09355059377969815,0.0029506175655976685
2013-04-01,BKNG,top100,82.37091485861603,93.92808945440524,52.88637888615522,60.43976463301331,0,2,1,66,0.20836284241234426,0.7130763444214081,0.03949867285358977,0.22255570480150655,0.1688641695587545,0.49052063961990156,0.15440388783712605,0.4329859185007291
2013-04-01,MA,top100,72.97313672808757,90.74224021592443,20.999695142884853,52.53629548363503,0,3,1,66,0.08680917885609452,0.396558231723932,0.03949867285358977,0.22255570480150655,0.04731050600250475,0.17400252692242546,0.0328502242808763,0.116467805803253
2013-04-01,KLAC,top100,72.26101157073893,69.88239830345094,81.1764705882353,71.0803864067621,0,4,1,66,0.07982902759444332,0.380256458608335,0.03949867285358977,0.22255570480150655,0.04033035474085356,0.15770075380682846,0.025870073019225108,0.100166032687656
2013-04-01,GILD,top100,70.94708796384013,90.18989782147676,11.539269553975437,55.06305578011317,1,5,1,66,0.07649068464446795,0.4768672466936943,0.03949867285358977,0.22255570480150655,0.03699201179087819,0.25431154189218774,0.022531730069249738,0.19677682077301528
2013-04-01,QCOM,top100,70.69176889502216,77.96510507036824,56.469397475589425,48.2231585064652,0,6,1,66,-0.07124289851782828,0.21924400725480653,0.03949867285358977,0.22255570480150655,-0.11074157137141805,-0.003311697546700021,-0.1252018530930465,-0.06084641866587248
2013-04-01,ORCL,top100,69.92278633418975,67.13803740119529,79.09593938878012,71.06972275597036,0,7,1,66,-0.07096687163461002,0.2757249757373412,0.03949867285358977,0.22255570480150655,-0.11046554448819979,0.05316927093583468,-0.12492582620982823,-0.004365450183337782
2013-04-01,ABT,top100,69.15738320343284,64.52284557547716,95.37206685953069,49.16977928692701,0,8,1,66,-0.004169672167346206,0.11001972589833797,0.03949867285358977,0.22255570480150655,-0.04366834502093597,-0.11253597890316858,-0.05812862674256442,-0.17007070002234104
2013-04-01,ACN,top100,69.07322343751248,77.11008289955659,47.654291224686595,55.653071628855464,0,9,1,66,-0.03922818814647444,0.0763930699968205,0.03949867285358977,0.22255570480150655,-0.07872686100006421,-0.14616263480468605,-0.09318714272169265,-0.20369735592385851
2013-04-01,AMGN,top100,68.48447522884751,83.61095045305572,33.753731945453076,32.06063522617903,1,10,1,66,-0.04290280606472052,0.22747227879610787,0.03949867285358977,0.22255570480150655,-0.08240147891831029,0.004916573994601325,-0.09686176063993873,-0.052618147124571135
2013-04-01,IBM,top100,68.44426376810884,70.14362830152304,70.58823529411765,52.260768982191856,0,11,1,66,-0.0951280466725356,-0.07489404043996006,0.03949867285358977,0.22255570480150655,-0.13462671952612537,-0.2974497452414666,-0.14908700124775381,-0.3549844663606391
2013-04-01,INTU,top100,67.83715086184209,78.97917871602081,33.42015489581413,58.67694781464699,0,12,1,66,-0.027388455796981237,0.20685782606291814,0.03949867285358977,0.22255570480150655,-0.066887128650571,-0.01569787873858841,-0.08134741037219945,-0.07323259985776087
2013-04-01,TJX,top100,66.27480068268355,77.49084249084248,34.66386554621849,50.984378298501156,1,13,1,66,0.07920503823110292,0.3067477768754183,0.03949867285358977,0.22255570480150655,0.03970636537751315,0.08419207207391177,0.025246083655884703,0.02665735095473931
2013-04-01,DHR,top100,64.99475015718888,70.27954501638712,52.730524642289346,52.52963717260024,0,14,1,66,0.04751551551551536,0.2167447447447448,0.03949867285358977,0.22255570480150655,0.008016842661925594,-0.005810960056761738,-0.006443439059702856,-0.0633456811759342
2013-04-01,CMCSA,top100,64.8139320795373,72.86099865047234,42.939178388746804,52.23397346457293,0,15,2,66,-0.012787235396878094,0.2304743583396398,0.03949867285358977,0.22255570480150655,-0.05228590825046786,0.007918653538133258,-0.0667461899720963,-0.0496160675810392
2013-04-01,SBUX,top100,64.40662745198792,79.20859841912474,16.52884924461588,56.54838709677419,1,16,2,66,0.16868858758302685,0.30745549029294983,0.03949867285358977,0.22255570480150655,0.12918991472943708,0.08489978549144328,0.11472963300780864,0.02736506437227082
2013-04-01,TMUS,top100,63.64095930534256,55.026990553306334,81.76470588235296,87.69124741557545,0,17,2,66,0.29540324294518694,0.8038437458716492,0.03949867285358977,0.22255570480150655,0.25590457009159717,0.5812880410701426,0.24144428836996873,0.5237533199509702
2013-04-01,GOOGL,top100,63.294946295543234,74.04954694428378,27.729138166894664,59.144358011656564,1,18,2,66,0.10820309353097546,0.39106682510271495,0.03949867285358977,0.22255570480150655,0.06870442067738569,0.1685111203012084,0.05424413895575724,0.11097639918203595
