variant,trades,win%,avg win R,avg loss R,exp R,avg % per trade,days,maxDD,"CAGR full, no costs","CAGR full, costs",maxDD costs,"CAGR 2011-18, costs","CAGR 2019-26, costs"
base (rules as given),1420.0,0.3352112676056338,1.4651181086059168,-0.7180880734636977,0.013747238272313911,0.00044871711093070506,8.073239436619719,-0.3779756575481662,-0.00027449916125998897,-0.04187081845700036,-0.5705714111220894,-0.019279425742179557,-0.06927167421642422
no time stop,1319.0,0.3199393479909022,1.591324985568138,-0.7058507712801412,0.029106142586404548,0.0010989483885223662,9.032600454890067,-0.3492795950630735,0.011442689991729926,-0.04354738597326513,-0.5861195389365572,-0.022998624809300372,-0.07233485411104146
EMA exit only after +2R partial,1182.0,0.4137055837563452,1.5212084243837571,-0.9908014995704588,0.04843103242075249,0.0008872969094126591,10.308798646362098,-0.40962165452817956,0.016086733477421955,-0.028396507899045464,-0.5092638109115655,-0.013522253818886054,-0.05826738431729939
stop = 2xATR only (not 'closer'),1703.0,0.3511450381679389,1.0275454286773893,-0.4928193184406271,0.041049218715317616,0.0014404971779492547,7.8784497944803284,-0.2902366519430192,0.029824776712813916,-0.026958323465194445,-0.4360049370667676,-0.006169772493404779,-0.05753626551060087
2xATR stop + EMA exit after partial,1244.0,0.4662379421221865,1.1039168574365652,-0.8608613225342275,0.05519281282192986,0.0024769994133489416,11.338424437299036,-0.2457186018953248,0.03078483188757386,0.005516631437719077,-0.31744316915878223,0.018328541211514615,-0.003194984490906716
3xATR stop (max 12%) + EMA exit after partial,1341.0,0.5354213273676361,0.6816064865747514,-0.6466271138499392,0.06453748354374299,0.003849583398687735,11.2475764354959,-0.18926940092011635,0.04533730766200694,0.020505473387725903,-0.25529053529650425,0.04616082299010871,-0.012365527444439972
"trailing stop under 5-day low, no partial",1859.0,0.3345884884346423,1.0249966873932186,-0.5258210769961622,-0.00693530537152808,-0.0003608700310432157,6.439483593329747,-0.44314370244427614,-0.011936515528539915,-0.05848815315973299,-0.6945072671447765,-0.05954655871803016,-0.06293673022952506
"take 20% profit, 2xATR stop, max 10 days",1468.0,0.48092643051771117,1.037046914958437,-0.8683905589676971,0.04798468394228287,0.0017239569194303474,8.56675749318801,-0.3113242890779576,0.03415594614584405,-0.01691115467658455,-0.4742832771190114,0.009434771508890272,-0.037775876655658625
"take 20% profit, 2xATR stop, max 20 days",1010.0,0.41188118811881186,1.5499569851080837,-0.9640115864944842,0.07144477567053384,0.003374002966499922,13.492079207920792,-0.2972493883838737,0.017839852244777576,-0.0034541923620636794,-0.36799616675878855,0.03138183874140821,-0.0386181564999345
"take 10% profit, 2xATR stop, max 10 days",1498.0,0.4826435246995995,1.02101725965314,-0.8582386145017866,0.04877206441277404,0.001632660264323962,8.348464619492656,-0.245214684383254,0.03656803235279993,-0.01658979356846957,-0.4732854035323195,0.01261926753989151,-0.03134571089050753
"take 5% profit, 2xATR stop, max 10 days",1722.0,0.5110336817653891,0.9279930818944399,-0.8699653836794072,0.04885195064404545,0.0018866245770100196,6.990127758420441,-0.2319208703759288,0.04661730983932433,-0.012632942739906117,-0.3532304589900658,0.0060359052364611365,-0.021563236246520456
"buy the dip (RSI2<10), exit close > 5-day avg",3109.0,0.6375040205853972,0.43898310575322114,-0.6267490952662297,0.052659467750995,0.002568281272831546,3.2032807976841426,-0.19374093059048036,0.087593476077928,-0.011149006164214104,-0.4895984418133801,-0.010307613591217124,-0.012505381191981968
"buy the dip (RSI2<10), take 20%, max 10 days",1507.0,0.5189117451891174,0.9692806931856858,-0.8128191863478941,0.11193337224219171,0.004989323139981317,9.045786330457863,-0.22682760669164892,0.08169738165110019,0.004804446405819451,-0.3631165527141471,0.03981847448802878,-0.012414014679909435
"buy the dip (RSI2<10), take 5%, max 10 days",1781.0,0.5334081976417743,0.8804241582600418,-0.8312996352569749,0.08174786830347762,0.004055129470253462,7.244806288601909,-0.22869411505078974,0.07297136758522549,0.01360366049350148,-0.3549248949645907,0.018456663540897367,0.0021161831608313975
SPY buy & hold (no dividends),,,,,,,,-0.34104746704498434,0.12186159510798156,0.12186159510798156,,0.09197122376860056,0.15786367441681537
