version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,days_held,partial_taken,exit_reason
A,INTU,2011-01-03,2011-01-05,49.68,48.81114,115,99.91889999999977,-99.91889999999977,-1.0,2,False,stop
A,SBUX,2011-01-10,2011-01-12,16.43,15.879105,186,102.4664700000001,-26.040000000000106,-0.2541319126149274,2,False,close_below_ema20
A,TMUS,2011-01-03,2011-01-19,25.52,24.6753,118,99.67459999999994,116.19460000000001,1.1657393157333973,11,True,close_below_ema20
A,UNP,2011-01-07,2011-01-20,46.73,45.94401,129,101.39270999999977,100.60671999999977,0.9922480620155039,8,True,breakeven_stop
A,BKNG,2011-01-05,2011-01-21,16.7048,15.9512328,135,101.73157199999989,41.5260000000001,0.408191863977096,11,False,close_below_ema20
A,UNP,2011-01-21,2011-01-24,47.745,46.51344,82,100.98791999999956,-50.01999999999995,-0.4953067654032301,1,False,close_below_ema20
A,C,2011-01-24,2011-01-26,49.1,47.152800000000006,52,101.25439999999975,-36.40000000000015,-0.3594905505341026,2,False,close_below_ema20
A,ADI,2011-01-12,2011-01-28,38.11,36.863099999999996,82,102.2458000000003,97.57999999999981,0.954366829737745,11,False,time_stop_10d
A,REGN,2011-01-26,2011-01-31,33.75,32.907059999999994,114,96.09516000000066,-39.90000000000016,-0.41521341969772346,3,False,close_below_ema20
A,GOOGL,2011-01-28,2011-01-31,15.508,15.0307542,216,103.0850927999997,-87.02639999999977,-0.8442190586066972,1,False,close_below_ema20
A,FISV,2011-02-01,2011-02-04,15.54,15.239745000000001,338,101.48618999999938,-163.9299999999998,-1.6152936670496825,3,False,stop_gap
A,TMUS,2011-02-04,2011-02-07,25.9,25.2747,163,101.92389999999989,22.820000000000093,0.22389253158484043,1,False,close_below_ema20
A,TMUS,2011-02-09,2011-02-11,26.0,25.2747,121,87.76130000000009,-36.30000000000008,-0.41362194953812265,2,False,close_below_ema20
A,TMO,2011-02-11,2011-02-17,57.14,55.339671498643895,54,97.2177390732297,-103.68000000000009,-1.0664720347168604,4,False,stop_gap
A,AAPL,2011-02-01,2011-02-22,12.1893,11.736840875164535,224,101.35084396314392,6.787200000000098,0.06696737525410497,14,False,time_stop_10d
A,BKNG,2011-02-07,2011-02-22,17.6,17.2603224,295,100.2048920000005,99.8652144000005,0.9966101694915255,10,True,breakeven_stop
A,CB,2011-02-17,2011-02-24,63.1,61.938,47,54.613999999999955,53.45200000000012,0.9787234042553221,4,True,breakeven_stop
A,CAT,2011-02-25,2011-03-02,101.91,97.94196000000001,14,55.55255999999983,-28.840000000000032,-0.5191479924597556,3,False,close_below_ema20
A,TXN,2011-02-28,2011-03-02,35.8,34.85511,73,68.97696999999954,-32.119999999999834,-0.4656626697287522,2,False,close_below_ema20
A,COP,2011-01-21,2011-03-11,51.746,50.6585907,59,64.15714870000026,197.31373940000012,3.075475506597744,34,True,close_below_ema20
A,ICE,2011-02-24,2011-03-14,24.636,24.13584,204,102.03263999999949,143.8526399999995,1.4098688419705716,12,True,close_below_ema20
A,AAPL,2011-03-14,2011-03-15,12.6136,12.3055821,337,103.8020322999998,-133.3508999999999,-1.2846655989798013,1,False,stop_gap
A,REGN,2011-02-25,2011-03-16,36.64,34.73523,53,100.95280999999996,98.57999999999997,0.976495849892638,13,False,time_stop_10d
A,BKNG,2011-03-02,2011-03-17,18.0896,17.6147676,216,102.56379840000008,88.64639999999983,0.8643049631827965,11,False,close_below_ema20
A,CAT,2011-03-16,2011-03-17,101.7,96.91299000000001,21,100.5272099999999,3.9899999999999523,0.03969074641582072,1,False,close_below_ema20
A,DHR,2011-03-16,2011-03-17,34.1033,33.176190600000005,110,101.98203399999912,-50.27000000000008,-0.4929299605850234,1,False,close_below_ema20
A,PM,2011-03-17,2011-03-18,62.64,61.38855,80,100.11599999999987,-75.19999999999982,-0.7511286907187654,1,False,close_below_ema20
A,COP,2011-03-18,2011-03-21,59.3616,56.08742701570171,30,98.22518952894889,-16.23899999999999,-0.16532419105400697,1,False,close_below_ema20
A,ICE,2011-03-18,2011-03-21,25.396,24.217758,85,100.15057000000007,-20.570000000000075,-0.20539074315802755,1,False,close_below_ema20
A,LOW,2011-03-21,2011-04-01,26.49,25.944029999999998,183,99.9125100000001,-3.659999999999922,-0.036632049380001745,9,False,close_below_ema20
A,CAT,2011-03-18,2011-04-08,104.99,99.45088649565595,18,99.7040430781928,99.9000000000002,1.001965385913726,15,False,time_stop_10d
A,DHR,2011-03-18,2011-04-11,33.9286,32.8739931,95,100.18765550000029,63.849500000000035,0.637299073237619,16,False,close_below_ema20
A,MU,2011-04-07,2011-04-11,11.26,10.93905,192,61.62239999999997,-32.639999999999986,-0.529677519862907,2,False,close_below_ema20
A,BX,2011-04-04,2011-04-12,17.949,17.2839987,155,103.07520150000002,-56.280500000000444,-0.5460139701982579,6,False,close_below_ema20
A,VZ,2011-04-11,2011-04-18,37.9,37.222739999999995,135,91.43010000000054,-91.43010000000054,-1.0,5,False,stop
A,VRTX,2011-04-11,2011-04-19,48.28,46.10385,47,102.27904999999998,-60.16000000000005,-0.5881947476047154,6,False,close_below_ema20
A,ISRG,2011-04-19,2011-04-25,39.7778,38.8555056,107,98.68550079999983,-98.68550079999983,-1.0,3,False,stop
A,FISV,2011-04-12,2011-04-28,15.71,15.329655,175,66.56037500000002,-66.56037500000002,-1.0,11,False,stop
A,LOW,2011-04-28,2011-04-29,26.79,25.88409,101,91.49690999999987,-17.169999999999813,-0.187656610480068,1,False,close_below_ema20
A,TMUS,2011-04-20,2011-05-03,33.02,31.728240000000003,77,99.46552,95.4799999999996,0.9599306372700772,8,False,close_below_ema20
A,CRM,2011-04-29,2011-05-03,34.75,33.411555,74,99.04493000000001,-99.04493000000001,-1.0,2,False,stop
A,BLK,2011-05-03,2011-05-04,197.61,194.68511999999998,33,96.521040000001,-18.150000000000375,-0.18804190257378275,1,False,close_below_ema20
A,GE,2011-05-04,2011-05-05,98.9638,96.4710324,39,97.2179364000003,-78.4992000000005,-0.8074559377296169,1,False,close_below_ema20
A,SBUX,2011-05-04,2011-05-10,18.285,17.882099999999998,203,81.7887000000005,-22.329999999999885,-0.27302060064531836,4,False,close_below_ema20
A,CAT,2011-05-10,2011-05-12,112.76,108.28161,21,94.0461900000001,-74.76000000000005,-0.7949285345849734,2,False,close_below_ema20
A,BLK,2011-05-10,2011-05-12,197.32,190.54926,7,47.395179999999925,-22.119999999999976,-0.466714125782411,2,False,close_below_ema20
