version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,days_held,partial_taken,exit_reason
B,INTU,2011-01-03,2011-01-05,49.68,48.81114,24,20.85263999999995,-20.85263999999995,-1.0,2,False,stop
B,SBUX,2011-01-03,2011-01-06,16.245,15.959025,37,10.58107500000002,-10.58107500000002,-1.0,3,False,stop
B,TMUS,2011-01-03,2011-01-19,25.52,24.6753,47,39.700899999999976,45.57620000000001,1.147989088408576,11,True,close_below_ema20
B,UNP,2011-01-07,2011-01-20,46.73,45.94401,25,19.649749999999955,18.863759999999957,0.96,8,True,breakeven_stop
B,BKNG,2011-01-05,2011-01-21,16.7048,15.9512328,73,55.010405599999935,22.454800000000056,0.40819186397709606,11,False,close_below_ema20
B,UNP,2011-01-21,2011-01-24,47.745,46.51344,25,30.788999999999866,-15.249999999999986,-0.4953067654032301,1,False,close_below_ema20
B,C,2011-01-21,2011-01-26,48.5,47.152800000000006,13,17.51359999999992,-1.3000000000000185,-0.07422802850356434,3,False,close_below_ema20
B,REGN,2011-01-26,2011-01-31,33.75,32.907059999999994,18,15.172920000000104,-6.300000000000026,-0.41521341969772346,3,False,close_below_ema20
B,AAPL,2011-02-01,2011-02-22,12.1893,11.736840875164535,102,46.15083073321732,3.0906000000000446,0.06696737525410497,14,False,time_stop_10d
B,MRSH,2011-01-24,2011-03-10,27.6,27.12285,44,20.994600000000077,64.55460000000001,3.074819239232935,32,True,close_below_ema20
B,COP,2011-01-21,2011-03-11,51.746,50.6585907,23,25.010413900000103,77.62060460000004,3.1035313893785546,34,True,close_below_ema20
B,ICE,2011-02-24,2011-03-14,24.636,24.13584,52,26.00831999999987,36.66831999999987,1.4098688419705716,12,True,close_below_ema20
B,CMCSA,2011-03-11,2011-03-14,11.7104,11.4177708,110,32.18921200000004,-32.18921200000004,-1.0,1,False,stop
B,DIS,2011-03-11,2011-03-14,42.83,42.117839999999994,29,20.652640000000126,-20.652640000000126,-1.0,1,False,stop
B,AAPL,2011-03-14,2011-03-15,12.6136,12.3055821,102,31.41782579999994,-40.361399999999975,-1.2846655989798013,1,False,stop_gap
B,PFE,2011-03-14,2011-03-15,18.5484,18.2928888,35,8.942892000000029,-8.942892000000029,-1.0,1,False,stop
B,CVX,2011-03-14,2011-03-17,100.75,97.5024,12,38.97120000000007,1.5599999999999454,0.04002956029067472,3,False,close_below_ema20
B,CAT,2011-03-16,2011-03-17,101.7,96.91299000000001,6,28.72205999999997,1.1399999999999864,0.03969074641582072,1,False,close_below_ema20
B,PM,2011-03-17,2011-03-18,62.64,61.38855,19,23.77754999999997,-17.859999999999957,-0.7511286907187654,1,False,close_below_ema20
B,COP,2011-03-18,2011-03-21,59.3616,56.08742701570171,11,36.01590282728126,-5.954299999999996,-0.16532419105400697,1,False,close_below_ema20
B,LOW,2011-03-21,2011-04-01,26.49,25.944029999999998,26,14.195220000000013,-0.5199999999999889,-0.03663204938000175,9,False,close_below_ema20
B,CAT,2011-03-18,2011-04-08,104.99,99.45088649565595,11,60.93024854778449,61.050000000000125,1.001965385913726,15,False,time_stop_10d
B,DHR,2011-04-01,2011-04-11,35.1317,34.176689100000004,37,35.33540329999992,-19.646999999999956,-0.5560145962731944,6,False,close_below_ema20
B,VZ,2011-04-11,2011-04-18,37.9,37.222739999999995,34,23.026840000000135,-23.026840000000135,-1.0,5,False,stop
B,VRTX,2011-04-08,2011-04-19,47.25,46.10385,26,29.799899999999965,-6.5,-0.21812153732059528,7,False,close_below_ema20
B,ISRG,2011-04-19,2011-04-25,39.7778,38.8555056,33,30.435715199999947,-30.435715199999947,-1.0,3,False,stop
B,REGN,2011-03-16,2011-05-05,38.7,37.6623,32,33.20640000000003,175.76639999999998,5.2931483087597515,35,True,close_below_ema20
B,SBUX,2011-05-05,2011-05-10,18.325,17.882099999999998,72,31.888800000000117,-10.799999999999898,-0.3386769022352631,3,False,close_below_ema20
B,CAT,2011-05-10,2011-05-12,112.76,108.28161,11,49.26229000000005,-39.160000000000025,-0.7949285345849734,2,False,close_below_ema20
B,ORCL,2011-05-12,2011-05-16,35.7,34.53543,36,41.92452000000017,-41.92452000000017,-1.0,2,False,stop
B,ADP,2011-04-19,2011-05-24,45.5575,45.0645903,26,12.81565219999996,30.96365219999997,2.4160808764769746,24,True,close_below_ema20
B,MDT,2011-04-26,2011-05-24,40.86,40.089870000000005,32,24.64415999999983,18.72415999999987,0.759780816225832,20,True,close_below_ema20
B,MRSH,2011-05-17,2011-05-24,30.23,29.480490000000003,42,31.479419999999884,-6.3000000000000895,-0.20013075209136993,5,False,close_below_ema20
B,QCOM,2011-05-24,2011-05-25,56.7,55.60433999999999,22,24.104520000000207,-7.9199999999999875,-0.32856908164941345,1,False,close_below_ema20
B,VRTX,2011-05-24,2011-05-26,55.83,53.496449999999996,22,51.338100000000054,-51.338100000000054,-1.0,2,False,stop
B,TJX,2011-05-24,2011-05-26,13.3225,12.8296575,54,26.613495000000004,-9.990000000000027,-0.37537347124081316,2,False,close_below_ema20
B,TMUS,2011-05-25,2011-06-06,35.8,34.80516,34,33.82455999999988,-51.0,-1.507780145551049,7,False,close_below_ema20
B,ACN,2011-05-26,2011-06-06,56.82,55.77417,22,23.00826000000005,-27.5,-1.1952229329814572,6,False,close_below_ema20
B,PFE,2011-05-26,2011-06-06,19.7913,19.288092600000002,33,16.60584419999991,-1.2540000000000084,-0.07551558264047878,6,False,close_below_ema20
B,MRSH,2011-06-06,2011-06-07,30.37,29.7702,40,23.992000000000075,-9.60000000000008,-0.4001333777925996,1,False,close_below_ema20
B,PFE,2011-06-07,2011-06-08,19.8861,19.5818985,61,18.556291499999865,-5.203300000000009,-0.2804062438876888,1,False,close_below_ema20
B,REGN,2011-06-07,2011-06-09,58.36,56.143800000000006,20,44.32399999999987,-44.32399999999987,-1.0,2,False,stop
B,PFE,2011-06-09,2011-06-10,19.8008,19.4965839,60,18.252965999999873,-13.66199999999992,-0.7484810961681524,1,False,close_below_ema20
B,TMO,2011-06-09,2011-06-13,62.73,62.027910000000006,19,13.339709999999833,3.800000000000054,0.2848637639049201,2,False,close_below_ema20
B,FISV,2011-06-09,2011-06-13,15.8325,15.499485,38,12.654569999999985,-6.269999999999968,-0.4954731768839222,2,False,close_below_ema20
B,UNP,2011-06-14,2011-06-15,50.91,49.66029,23,28.743329999999844,-28.743329999999844,-1.0,1,False,stop
B,UNH,2011-06-17,2011-07-12,50.1,48.31164,23,41.1322800000001,14.720000000000013,0.35786978013375326,16,False,close_below_ema20
B,TMO,2011-06-28,2011-07-12,63.49,62.01792,18,26.497440000000097,-20.340000000000046,-0.767621324927992,9,False,close_below_ema20
B,MRSH,2011-06-29,2011-07-12,30.59,29.656496307345773,21,19.603577545738773,-4.619999999999976,-0.2356712691456782,8,False,close_below_ema20
B,VZ,2011-07-12,2011-07-13,37.18,36.972989999999996,31,6.417310000000121,-6.417310000000121,-1.0,1,False,stop
B,MRSH,2011-07-13,2011-07-14,30.8,30.33963,38,17.49406000000004,-17.49406000000004,-1.0,1,False,stop
B,VZ,2011-07-14,2011-07-15,37.27,36.82314,31,13.852660000000029,-13.852660000000029,-1.0,1,False,stop
